"행정구역별","산업별","종사자규모별",2020,2020
"행정구역별","산업별","종사자규모별",사업체수 (개),종사자수 (명)
"전국","전체 산업","계",4325195,21583421
"전국","전체 산업","1 - 4명",3587125,5699039
"전국","전체 산업","5 - 9명",421489,2698584
"전국","전체 산업","10 - 19명",170410,2255029
"전국","전체 산업","20 - 49명",95325,2835504
"전국","전체 산업","50 - 99명",31417,2162513
"전국","전체 산업","100 - 299명",15144,2387245
"전국","전체 산업","300 - 499명",2155,815186
"전국","전체 산업","500 - 999명",1309,898552
"전국","전체 산업","1000명 이상",821,1831769
"전국","농업, 임업 및 어업(01~03)","계",5948,47481
"전국","농업, 임업 및 어업(01~03)","1 - 4명",3573,7074
"전국","농업, 임업 및 어업(01~03)","5 - 9명",1241,8239
"전국","농업, 임업 및 어업(01~03)","10 - 19명",625,8327
"전국","농업, 임업 및 어업(01~03)","20 - 49명",388,11804
"전국","농업, 임업 및 어업(01~03)","50 - 99명",85,5735
"전국","농업, 임업 및 어업(01~03)","100 - 299명",34,4797
"전국","농업, 임업 및 어업(01~03)","300 - 499명",1,X
"전국","농업, 임업 및 어업(01~03)","1000명 이상",1,X
"전국","광업(05~08)","계",1654,13838
"전국","광업(05~08)","1 - 4명",1084,2218
"전국","광업(05~08)","5 - 9명",230,1558
"전국","광업(05~08)","10 - 19명",165,2330
"전국","광업(05~08)","20 - 49명",149,4373
"전국","광업(05~08)","50 - 99명",20,1281
"전국","광업(05~08)","100 - 299명",4,632
"전국","광업(05~08)","500 - 999명",2,X
"전국","제조업(10~34)","계",453257,3984905
"전국","제조업(10~34)","1 - 4명",306409,596293
"전국","제조업(10~34)","5 - 9명",77438,511705
"전국","제조업(10~34)","10 - 19명",35443,475726
"전국","제조업(10~34)","20 - 49명",23710,707275
"전국","제조업(10~34)","50 - 99명",6180,424742
"전국","제조업(10~34)","100 - 299명",3360,536685
"전국","제조업(10~34)","300 - 499명",393,147507
"전국","제조업(10~34)","500 - 999명",201,135186
"전국","제조업(10~34)","1000명 이상",123,449786
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","계",4449,69138
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","1 - 4명",3541,4330
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","5 - 9명",271,1729
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","10 - 19명",117,1610
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","20 - 49명",210,7239
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","50 - 99명",191,13570
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","100 - 299명",83,14428
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","300 - 499명",23,9138
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","500 - 999명",5,3621
"전국","전기, 가스, 증기 및 공기조절 공급업(35)","1000명 이상",8,13473
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",9627,115110
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1 - 4명",4767,10552
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","5 - 9명",1993,13070
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","10 - 19명",1308,17893
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","20 - 49명",1138,35302
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50 - 99명",316,21179
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","100 - 299명",102,14598
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","300 - 499명",2,X
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","1000명 이상",1,X
"전국","건설업(41~42)","계",158401,1431792
"전국","건설업(41~42)","1 - 4명",105323,190847
"전국","건설업(41~42)","5 - 9명",28709,186916
"전국","건설업(41~42)","10 - 19명",13650,181267
"전국","건설업(41~42)","20 - 49명",7025,208121
"전국","건설업(41~42)","50 - 99명",2104,142645
"전국","건설업(41~42)","100 - 299명",1187,191004
"전국","건설업(41~42)","300 - 499명",187,69455
"전국","건설업(41~42)","500 - 999명",135,91939
"전국","건설업(41~42)","1000명 이상",81,169598
"전국","도매 및 소매업(45~47)","계",1064434,2962630
"전국","도매 및 소매업(45~47)","1 - 4명",947733,1484928
"전국","도매 및 소매업(45~47)","5 - 9명",80003,501106
"전국","도매 및 소매업(45~47)","10 - 19명",24336,315372
"전국","도매 및 소매업(45~47)","20 - 49명",9273,263052
"전국","도매 및 소매업(45~47)","50 - 99명",1924,129990
"전국","도매 및 소매업(45~47)","100 - 299명",979,150869
"전국","도매 및 소매업(45~47)","300 - 499명",116,43969
"전국","도매 및 소매업(45~47)","500 - 999명",51,35174
"전국","도매 및 소매업(45~47)","1000명 이상",19,38170
"전국","운수 및 창고업(49~52)","계",420889,1091939
"전국","운수 및 창고업(49~52)","1 - 4명",400728,429329
"전국","운수 및 창고업(49~52)","5 - 9명",7944,51726
"전국","운수 및 창고업(49~52)","10 - 19명",5219,70141
"전국","운수 및 창고업(49~52)","20 - 49명",3995,122074
"전국","운수 및 창고업(49~52)","50 - 99명",1698,119065
"전국","운수 및 창고업(49~52)","100 - 299명",1129,177691
"전국","운수 및 창고업(49~52)","300 - 499명",116,42171
"전국","운수 및 창고업(49~52)","500 - 999명",37,25609
"전국","운수 및 창고업(49~52)","1000명 이상",23,54133
"전국","숙박 및 음식점업(55~56)","계",829555,2023871
"전국","숙박 및 음식점업(55~56)","1 - 4명",744753,1286079
"전국","숙박 및 음식점업(55~56)","5 - 9명",67598,417365
"전국","숙박 및 음식점업(55~56)","10 - 19명",13688,171780
"전국","숙박 및 음식점업(55~56)","20 - 49명",2922,82066
"전국","숙박 및 음식점업(55~56)","50 - 99명",439,27617
"전국","숙박 및 음식점업(55~56)","100 - 299명",119,19164
"전국","숙박 및 음식점업(55~56)","300 - 499명",21,8037
"전국","숙박 및 음식점업(55~56)","500 - 999명",12,8006
"전국","숙박 및 음식점업(55~56)","1000명 이상",3,3757
"전국","정보통신업(58~63)","계",49435,620982
"전국","정보통신업(58~63)","1 - 4명",31587,58846
"전국","정보통신업(58~63)","5 - 9명",8098,52390
"전국","정보통신업(58~63)","10 - 19명",4594,61339
"전국","정보통신업(58~63)","20 - 49명",3073,91684
"전국","정보통신업(58~63)","50 - 99명",1096,76194
"전국","정보통신업(58~63)","100 - 299명",782,130512
"전국","정보통신업(58~63)","300 - 499명",114,43038
"전국","정보통신업(58~63)","500 - 999명",62,41982
"전국","정보통신업(58~63)","1000명 이상",29,64997
"전국","금융 및 보험업(64~66)","계",43242,680970
"전국","금융 및 보험업(64~66)","1 - 4명",16566,33284
"전국","금융 및 보험업(64~66)","5 - 9명",10137,69302
"전국","금융 및 보험업(64~66)","10 - 19명",9163,120671
"전국","금융 및 보험업(64~66)","20 - 49명",5297,162993
"전국","금융 및 보험업(64~66)","50 - 99명",1469,95908
"전국","금융 및 보험업(64~66)","100 - 299명",447,69213
"전국","금융 및 보험업(64~66)","300 - 499명",71,26600
"전국","금융 및 보험업(64~66)","500 - 999명",53,35513
"전국","금융 및 보험업(64~66)","1000명 이상",39,67486
"전국","부동산업(68)","계",177046,510503
"전국","부동산업(68)","1 - 4명",153827,221575
"전국","부동산업(68)","5 - 9명",15425,98814
"전국","부동산업(68)","10 - 19명",5628,72695
"전국","부동산업(68)","20 - 49명",1710,48003
"전국","부동산업(68)","50 - 99명",268,17886
"전국","부동산업(68)","100 - 299명",142,23738
"전국","부동산업(68)","300 - 499명",27,10150
"전국","부동산업(68)","500 - 999명",12,7828
"전국","부동산업(68)","1000명 이상",7,9814
"전국","전문, 과학 및 기술 서비스업(70~73)","계",129778,1159853
"전국","전문, 과학 및 기술 서비스업(70~73)","1 - 4명",90442,171614
"전국","전문, 과학 및 기술 서비스업(70~73)","5 - 9명",22406,142040
"전국","전문, 과학 및 기술 서비스업(70~73)","10 - 19명",9194,121462
"전국","전문, 과학 및 기술 서비스업(70~73)","20 - 49명",4894,144548
"전국","전문, 과학 및 기술 서비스업(70~73)","50 - 99명",1534,105183
"전국","전문, 과학 및 기술 서비스업(70~73)","100 - 299명",936,153132
"전국","전문, 과학 및 기술 서비스업(70~73)","300 - 499명",199,77235
"전국","전문, 과학 및 기술 서비스업(70~73)","500 - 999명",117,81036
"전국","전문, 과학 및 기술 서비스업(70~73)","1000명 이상",56,163603
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",77568,1108666
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","1 - 4명",57512,97163
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","5 - 9명",8124,52368
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","10 - 19명",4487,61066
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","20 - 49명",3999,120182
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50 - 99명",1531,105377
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","100 - 299명",1306,218141
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","300 - 499명",299,113200
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","500 - 999명",205,141947
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","1000명 이상",105,199222
"전국","공공행정, 국방 및 사회보장 행정(84)","계",12385,819440
"전국","공공행정, 국방 및 사회보장 행정(84)","1 - 4명",1658,3182
"전국","공공행정, 국방 및 사회보장 행정(84)","5 - 9명",1472,10648
"전국","공공행정, 국방 및 사회보장 행정(84)","10 - 19명",2823,41733
"전국","공공행정, 국방 및 사회보장 행정(84)","20 - 49명",3893,114281
"전국","공공행정, 국방 및 사회보장 행정(84)","50 - 99명",1119,76832
"전국","공공행정, 국방 및 사회보장 행정(84)","100 - 299명",861,140209
"전국","공공행정, 국방 및 사회보장 행정(84)","300 - 499명",224,87507
"전국","공공행정, 국방 및 사회보장 행정(84)","500 - 999명",209,146904
"전국","공공행정, 국방 및 사회보장 행정(84)","1000명 이상",126,198144
"전국","교육 서비스업(85)","계",191529,1579773
"전국","교육 서비스업(85)","1 - 4명",147230,250562
"전국","교육 서비스업(85)","5 - 9명",19960,125864
"전국","교육 서비스업(85)","10 - 19명",8700,117650
"전국","교육 서비스업(85)","20 - 49명",7814,241661
"전국","교육 서비스업(85)","50 - 99명",6316,448333
"전국","교육 서비스업(85)","100 - 299명",1225,156792
"전국","교육 서비스업(85)","300 - 499명",123,46818
"전국","교육 서비스업(85)","500 - 999명",86,58468
"전국","교육 서비스업(85)","1000명 이상",75,133625
"전국","보건업 및 사회복지 서비스업(86~87)","계",149351,2156232
"전국","보건업 및 사회복지 서비스업(86~87)","1 - 4명",58727,165202
"전국","보건업 및 사회복지 서비스업(86~87)","5 - 9명",48617,314794
"전국","보건업 및 사회복지 서비스업(86~87)","10 - 19명",23252,308768
"전국","보건업 및 사회복지 서비스업(86~87)","20 - 49명",12097,363422
"전국","보건업 및 사회복지 서비스업(86~87)","50 - 99명",4275,292210
"전국","보건업 및 사회복지 서비스업(86~87)","100 - 299명",1949,310381
"전국","보건업 및 사회복지 서비스업(86~87)","300 - 499명",204,75821
"전국","보건업 및 사회복지 서비스업(86~87)","500 - 999명",112,77745
"전국","보건업 및 사회복지 서비스업(86~87)","1000명 이상",118,247889
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","계",123249,380824
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","1 - 4명",111312,162799
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","5 - 9명",7551,47600
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","10 - 19명",2368,30927
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","20 - 49명",1260,37242
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","50 - 99명",396,27642
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","100 - 299명",325,50147
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","300 - 499명",23,8835
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","500 - 999명",9,5473
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)","1000명 이상",5,10159
